antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NoFamilyHistoryAlzheimers'}),frozenset({'NoDiagnosis'}),0.7372210223182145,1.0,0.7372210223182145,1.0,1.0,1.0,0.0,inf,0.0,0.7372210223182145,0.0,0.8686105111591073
frozenset({'NoCardiovascularDisease'}),frozenset({'NoDiagnosis'}),0.8639308855291576,1.0,0.8639308855291576,1.0,1.0,1.0,0.0,inf,0.0,0.8639308855291576,0.0,0.9319654427645788
frozenset({'NoDiabetes'}),frozenset({'NoDiagnosis'}),0.8408927285817135,1.0,0.8408927285817135,1.0,1.0,1.0,0.0,inf,0.0,0.8408927285817136,0.0,0.9204463642908567
frozenset({'NoDepression'}),frozenset({'NoDiagnosis'}),0.7976961843052556,1.0,0.7976961843052556,1.0,1.0,1.0,0.0,inf,0.0,0.7976961843052556,0.0,0.8988480921526278
frozenset({'NoHeadInjury'}),frozenset({'NoDiagnosis'}),0.9028077753779697,1.0,0.9028077753779697,1.0,1.0,1.0,0.0,inf,0.0,0.9028077753779697,0.0,0.9514038876889849
frozenset({'NoHypertension'}),frozenset({'NoDiagnosis'}),0.8603311735061195,1.0,0.8603311735061195,1.0,1.0,1.0,0.0,inf,0.0,0.8603311735061195,0.0,0.9301655867530598
frozenset({'NoMemoryComplaints'}),frozenset({'NoDiagnosis'}),0.8840892728581713,1.0,0.8840892728581713,1.0,1.0,1.0,0.0,inf,0.0,0.8840892728581713,0.0,0.9420446364290856
frozenset({'NoBehavioralProblems'}),frozenset({'NoDiagnosis'}),0.9035277177825773,1.0,0.9035277177825773,1.0,1.0,1.0,0.0,inf,0.0,0.9035277177825773,0.0,0.9517638588912887
frozenset({'NoConfusion'}),frozenset({'NoDiagnosis'}),0.7890568754499641,1.0,0.7890568754499641,1.0,1.0,1.0,0.0,inf,0.0,0.7890568754499641,0.0,0.894528437724982
frozenset({'NoDisorientation'}),frozenset({'NoDiagnosis'}),0.8351331893448524,1.0,0.8351331893448524,1.0,1.0,1.0,0.0,inf,0.0,0.8351331893448524,0.0,0.9175665946724262
frozenset({'NoPersonalityChanges'}),frozenset({'NoDiagnosis'}),0.843772498200144,1.0,0.843772498200144,1.0,1.0,1.0,0.0,inf,0.0,0.843772498200144,0.0,0.921886249100072
frozenset({'NoDifficultyCompletingTasks'}),frozenset({'NoDiagnosis'}),0.843772498200144,1.0,0.843772498200144,1.0,1.0,1.0,0.0,inf,0.0,0.843772498200144,0.0,0.921886249100072
frozenset({'NoForgetfulness'}),frozenset({'NoDiagnosis'}),0.6983441324694024,1.0,0.6983441324694024,1.0,1.0,1.0,0.0,inf,0.0,0.6983441324694024,0.0,0.8491720662347012
"frozenset({'NoFamilyHistoryAlzheimers', 'NoCardiovascularDisease'})",frozenset({'NoDiagnosis'}),0.6378689704823615,1.0,0.6378689704823615,1.0,1.0,1.0,0.0,inf,0.0,0.6378689704823615,0.0,0.8189344852411807
