antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NoFamilyHistoryAlzheimers'}),frozenset({'YesDiagnosis'}),0.7671052631578947,1.0,0.7671052631578947,1.0,1.0,1.0,0.0,inf,0.0,0.7671052631578947,0.0,0.8835526315789474
frozenset({'NoCardiovascularDisease'}),frozenset({'YesDiagnosis'}),0.8407894736842105,1.0,0.8407894736842105,1.0,1.0,1.0,0.0,inf,0.0,0.8407894736842105,0.0,0.9203947368421053
frozenset({'NoDiabetes'}),frozenset({'YesDiagnosis'}),0.8644736842105263,1.0,0.8644736842105263,1.0,1.0,1.0,0.0,inf,0.0,0.8644736842105263,0.0,0.9322368421052631
frozenset({'NoDepression'}),frozenset({'YesDiagnosis'}),0.8026315789473685,1.0,0.8026315789473685,1.0,1.0,1.0,0.0,inf,0.0,0.8026315789473685,0.0,0.9013157894736843
frozenset({'NoHeadInjury'}),frozenset({'YesDiagnosis'}),0.9157894736842105,1.0,0.9157894736842105,1.0,1.0,1.0,0.0,inf,0.0,0.9157894736842105,0.0,0.9578947368421052
frozenset({'NoHypertension'}),frozenset({'YesDiagnosis'}),0.8342105263157895,1.0,0.8342105263157895,1.0,1.0,1.0,0.0,inf,0.0,0.8342105263157895,0.0,0.9171052631578948
frozenset({'NoMemoryComplaints'}),frozenset({'YesDiagnosis'}),0.6236842105263158,1.0,0.6236842105263158,1.0,1.0,1.0,0.0,inf,0.0,0.6236842105263158,0.0,0.8118421052631579
frozenset({'NoBehavioralProblems'}),frozenset({'YesDiagnosis'}),0.7328947368421053,1.0,0.7328947368421053,1.0,1.0,1.0,0.0,inf,0.0,0.7328947368421053,0.0,0.8664473684210526
frozenset({'NoConfusion'}),frozenset({'YesDiagnosis'}),0.8052631578947368,1.0,0.8052631578947368,1.0,1.0,1.0,0.0,inf,0.0,0.8052631578947368,0.0,0.9026315789473685
frozenset({'NoDisorientation'}),frozenset({'YesDiagnosis'}),0.8539473684210527,1.0,0.8539473684210527,1.0,1.0,1.0,0.0,inf,0.0,0.8539473684210528,0.0,0.9269736842105263
frozenset({'NoPersonalityChanges'}),frozenset({'YesDiagnosis'}),0.8592105263157894,1.0,0.8592105263157894,1.0,1.0,1.0,0.0,inf,0.0,0.8592105263157894,0.0,0.9296052631578947
frozenset({'NoDifficultyCompletingTasks'}),frozenset({'YesDiagnosis'}),0.8368421052631579,1.0,0.8368421052631579,1.0,1.0,1.0,0.0,inf,0.0,0.8368421052631579,0.0,0.918421052631579
frozenset({'NoForgetfulness'}),frozenset({'YesDiagnosis'}),0.6986842105263158,1.0,0.6986842105263158,1.0,1.0,1.0,0.0,inf,0.0,0.6986842105263158,0.0,0.8493421052631579
"frozenset({'NoFamilyHistoryAlzheimers', 'NoCardiovascularDisease'})",frozenset({'YesDiagnosis'}),0.6526315789473685,1.0,0.6526315789473685,1.0,1.0,1.0,0.0,inf,0.0,0.6526315789473685,0.0,0.8263157894736842
"frozenset({'NoFamilyHistoryAlzheimers', 'NoDiabetes'})",frozenset({'YesDiagnosis'}),0.6631578947368421,1.0,0.6631578947368421,1.0,1.0,1.0,0.0,inf,0.0,0.6631578947368422,0.0,0.831578947368421
"frozenset({'NoFamilyHistoryAlzheimers', 'NoDepression'})",frozenset({'YesDiagnosis'}),0.6105263157894737,1.0,0.6105263157894737,1.0,1.0,1.0,0.0,inf,0.0,0.6105263157894737,0.0,0.8052631578947369
"frozenset({'NoFamilyHistoryAlzheimers', 'NoHeadInjury'})",frozenset({'YesDiagnosis'}),0.6947368421052632,1.0,0.6947368421052632,1.0,1.0,1.0,0.0,inf,0.0,0.6947368421052633,0.0,0.8473684210526315
"frozenset({'NoFamilyHistoryAlzheimers', 'NoHypertension'})",frozenset({'YesDiagnosis'}),0.6368421052631579,1.0,0.6368421052631579,1.0,1.0,1.0,0.0,inf,0.0,0.6368421052631579,0.0,0.8184210526315789
"frozenset({'NoBehavioralProblems', 'NoFamilyHistoryAlzheimers'})",frozenset({'YesDiagnosis'}),0.5578947368421052,1.0,0.5578947368421052,1.0,1.0,1.0,0.0,inf,0.0,0.5578947368421052,0.0,0.7789473684210526
"frozenset({'NoFamilyHistoryAlzheimers', 'NoConfusion'})",frozenset({'YesDiagnosis'}),0.618421052631579,1.0,0.618421052631579,1.0,1.0,1.0,0.0,inf,0.0,0.618421052631579,0.0,0.8092105263157895
"frozenset({'NoFamilyHistoryAlzheimers', 'NoDisorientation'})",frozenset({'YesDiagnosis'}),0.6592105263157895,1.0,0.6592105263157895,1.0,1.0,1.0,0.0,inf,0.0,0.6592105263157895,0.0,0.8296052631578947
"frozenset({'NoFamilyHistoryAlzheimers', 'NoPersonalityChanges'})",frozenset({'YesDiagnosis'}),0.6631578947368421,1.0,0.6631578947368421,1.0,1.0,1.0,0.0,inf,0.0,0.6631578947368422,0.0,0.831578947368421
"frozenset({'NoDifficultyCompletingTasks', 'NoFamilyHistoryAlzheimers'})",frozenset({'YesDiagnosis'}),0.6447368421052632,1.0,0.6447368421052632,1.0,1.0,1.0,0.0,inf,0.0,0.6447368421052632,0.0,0.8223684210526316
"frozenset({'NoForgetfulness', 'NoFamilyHistoryAlzheimers'})",frozenset({'YesDiagnosis'}),0.5368421052631579,1.0,0.5368421052631579,1.0,1.0,1.0,0.0,inf,0.0,0.536842105263158,0.0,0.7684210526315789
"frozenset({'NoCardiovascularDisease', 'NoDiabetes'})",frozenset({'YesDiagnosis'}),0.7355263157894737,1.0,0.7355263157894737,1.0,1.0,1.0,0.0,inf,0.0,0.7355263157894737,0.0,0.8677631578947369
"frozenset({'NoCardiovascularDisease', 'NoDepression'})",frozenset({'YesDiagnosis'}),0.6789473684210526,1.0,0.6789473684210526,1.0,1.0,1.0,0.0,inf,0.0,0.6789473684210526,0.0,0.8394736842105264
"frozenset({'NoCardiovascularDisease', 'NoHeadInjury'})",frozenset({'YesDiagnosis'}),0.7631578947368421,1.0,0.7631578947368421,1.0,1.0,1.0,0.0,inf,0.0,0.7631578947368423,0.0,0.881578947368421
"frozenset({'NoCardiovascularDisease', 'NoHypertension'})",frozenset({'YesDiagnosis'}),0.7,1.0,0.7,1.0,1.0,1.0,0.0,inf,0.0,0.7,0.0,0.85
"frozenset({'NoCardiovascularDisease', 'NoMemoryComplaints'})",frozenset({'YesDiagnosis'}),0.5276315789473685,1.0,0.5276315789473685,1.0,1.0,1.0,0.0,inf,0.0,0.5276315789473685,0.0,0.7638157894736842
"frozenset({'NoBehavioralProblems', 'NoCardiovascularDisease'})",frozenset({'YesDiagnosis'}),0.6105263157894737,1.0,0.6105263157894737,1.0,1.0,1.0,0.0,inf,0.0,0.6105263157894737,0.0,0.8052631578947369
"frozenset({'NoCardiovascularDisease', 'NoConfusion'})",frozenset({'YesDiagnosis'}),0.675,1.0,0.675,1.0,1.0,1.0,0.0,inf,0.0,0.675,0.0,0.8375
"frozenset({'NoDisorientation', 'NoCardiovascularDisease'})",frozenset({'YesDiagnosis'}),0.7197368421052631,1.0,0.7197368421052631,1.0,1.0,1.0,0.0,inf,0.0,0.7197368421052632,0.0,0.8598684210526315
"frozenset({'NoCardiovascularDisease', 'NoPersonalityChanges'})",frozenset({'YesDiagnosis'}),0.718421052631579,1.0,0.718421052631579,1.0,1.0,1.0,0.0,inf,0.0,0.7184210526315791,0.0,0.8592105263157894
"frozenset({'NoDifficultyCompletingTasks', 'NoCardiovascularDisease'})",frozenset({'YesDiagnosis'}),0.7078947368421052,1.0,0.7078947368421052,1.0,1.0,1.0,0.0,inf,0.0,0.7078947368421054,0.0,0.8539473684210526
"frozenset({'NoForgetfulness', 'NoCardiovascularDisease'})",frozenset({'YesDiagnosis'}),0.5947368421052631,1.0,0.5947368421052631,1.0,1.0,1.0,0.0,inf,0.0,0.5947368421052632,0.0,0.7973684210526315
"frozenset({'NoDiabetes', 'NoDepression'})",frozenset({'YesDiagnosis'}),0.7052631578947368,1.0,0.7052631578947368,1.0,1.0,1.0,0.0,inf,0.0,0.7052631578947368,0.0,0.8526315789473684
"frozenset({'NoDiabetes', 'NoHeadInjury'})",frozenset({'YesDiagnosis'}),0.7934210526315789,1.0,0.7934210526315789,1.0,1.0,1.0,0.0,inf,0.0,0.7934210526315789,0.0,0.8967105263157895
"frozenset({'NoDiabetes', 'NoHypertension'})",frozenset({'YesDiagnosis'}),0.725,1.0,0.725,1.0,1.0,1.0,0.0,inf,0.0,0.725,0.0,0.8625
"frozenset({'NoMemoryComplaints', 'NoDiabetes'})",frozenset({'YesDiagnosis'}),0.5434210526315789,1.0,0.5434210526315789,1.0,1.0,1.0,0.0,inf,0.0,0.5434210526315789,0.0,0.7717105263157895
"frozenset({'NoBehavioralProblems', 'NoDiabetes'})",frozenset({'YesDiagnosis'}),0.631578947368421,1.0,0.631578947368421,1.0,1.0,1.0,0.0,inf,0.0,0.631578947368421,0.0,0.8157894736842105
"frozenset({'NoConfusion', 'NoDiabetes'})",frozenset({'YesDiagnosis'}),0.6947368421052632,1.0,0.6947368421052632,1.0,1.0,1.0,0.0,inf,0.0,0.6947368421052633,0.0,0.8473684210526315
"frozenset({'NoDisorientation', 'NoDiabetes'})",frozenset({'YesDiagnosis'}),0.7394736842105263,1.0,0.7394736842105263,1.0,1.0,1.0,0.0,inf,0.0,0.7394736842105263,0.0,0.8697368421052631
