antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage
frozenset({'Confusion'}),"frozenset({'Disorientation', 'Forgetfulness'})",0.20521172638436483,0.04234527687296417,0.0144253140995812,0.07029478458049887,1.6600383743240887,0.005735566728256307
"frozenset({'Disorientation', 'Forgetfulness'})",frozenset({'Confusion'}),0.04234527687296417,0.20521172638436483,0.0144253140995812,0.34065934065934067,1.6600383743240885,0.005735566728256307
"frozenset({'Forgetfulness', 'Confusion'})",frozenset({'Disorientation'}),0.0637505816658911,0.15821312238250348,0.0144253140995812,0.22627737226277375,1.4302060970373554,0.004339135520519788
frozenset({'Disorientation'}),"frozenset({'Forgetfulness', 'Confusion'})",0.15821312238250348,0.0637505816658911,0.0144253140995812,0.0911764705882353,1.4302060970373554,0.004339135520519788
frozenset({'Forgetfulness'}),"frozenset({'Disorientation', 'Confusion'})",0.30153559795253604,0.03350395532805956,0.0144253140995812,0.04783950617283951,1.4278763717421128,0.004322678895959706
"frozenset({'Disorientation', 'Confusion'})",frozenset({'Forgetfulness'}),0.03350395532805956,0.30153559795253604,0.0144253140995812,0.4305555555555556,1.4278763717421126,0.004322678895959706
"frozenset({'PersonalityChanges', 'Diagnosis'})",frozenset({'DifficultyCompletingTasks'}),0.049790600279199626,0.15867845509539322,0.010237319683573755,0.205607476635514,1.2957491709375941,0.0023366241529981045
frozenset({'DifficultyCompletingTasks'}),"frozenset({'PersonalityChanges', 'Diagnosis'})",0.15867845509539322,0.049790600279199626,0.010237319683573755,0.06451612903225806,1.2957491709375941,0.0023366241529981045
frozenset({'DifficultyCompletingTasks'}),frozenset({'PersonalityChanges'}),0.15867845509539322,0.15076779897626802,0.0288506281991624,0.1818181818181818,1.2059483726150393,0.0049270267794753846
frozenset({'PersonalityChanges'}),frozenset({'DifficultyCompletingTasks'}),0.15076779897626802,0.15867845509539322,0.0288506281991624,0.19135802469135804,1.2059483726150393,0.0049270267794753846
"frozenset({'DifficultyCompletingTasks', 'Diagnosis'})",frozenset({'PersonalityChanges'}),0.0577012563983248,0.15076779897626802,0.010237319683573755,0.17741935483870966,1.1767722023098366,0.0015378282582330215
frozenset({'PersonalityChanges'}),"frozenset({'DifficultyCompletingTasks', 'Diagnosis'})",0.15076779897626802,0.0577012563983248,0.010237319683573755,0.06790123456790123,1.1767722023098366,0.0015378282582330215
