antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NoFamilyHistoryAlzheimers'}),frozenset({'NoDiagnosis'}),0.7372210223182145,1.0,0.7372210223182145,1.0,1.0,1.0,0.0,inf,0.0,0.7372210223182145,0.0,0.8686105111591073
frozenset({'NoCardiovascularDisease'}),frozenset({'NoDiagnosis'}),0.8639308855291576,1.0,0.8639308855291576,1.0,1.0,1.0,0.0,inf,0.0,0.8639308855291576,0.0,0.9319654427645788
frozenset({'NoDiabetes'}),frozenset({'NoDiagnosis'}),0.8408927285817135,1.0,0.8408927285817135,1.0,1.0,1.0,0.0,inf,0.0,0.8408927285817136,0.0,0.9204463642908567
frozenset({'NoDepression'}),frozenset({'NoDiagnosis'}),0.7976961843052556,1.0,0.7976961843052556,1.0,1.0,1.0,0.0,inf,0.0,0.7976961843052556,0.0,0.8988480921526278
frozenset({'NoHeadInjury'}),frozenset({'NoDiagnosis'}),0.9028077753779697,1.0,0.9028077753779697,1.0,1.0,1.0,0.0,inf,0.0,0.9028077753779697,0.0,0.9514038876889849
frozenset({'NoHypertension'}),frozenset({'NoDiagnosis'}),0.8603311735061195,1.0,0.8603311735061195,1.0,1.0,1.0,0.0,inf,0.0,0.8603311735061195,0.0,0.9301655867530598
"frozenset({'NoCardiovascularDisease', 'NoFamilyHistoryAlzheimers'})",frozenset({'NoDiagnosis'}),0.6378689704823615,1.0,0.6378689704823615,1.0,1.0,1.0,0.0,inf,0.0,0.6378689704823615,0.0,0.8189344852411807
"frozenset({'NoFamilyHistoryAlzheimers', 'NoDiabetes'})",frozenset({'NoDiagnosis'}),0.6141108711303096,1.0,0.6141108711303096,1.0,1.0,1.0,0.0,inf,0.0,0.6141108711303096,0.0,0.8070554355651548
"frozenset({'NoFamilyHistoryAlzheimers', 'NoDepression'})",frozenset({'NoDiagnosis'}),0.5910727141828653,1.0,0.5910727141828653,1.0,1.0,1.0,0.0,inf,0.0,0.5910727141828653,0.0,0.7955363570914327
"frozenset({'NoFamilyHistoryAlzheimers', 'NoHeadInjury'})",frozenset({'NoDiagnosis'}),0.665946724262059,1.0,0.665946724262059,1.0,1.0,1.0,0.0,inf,0.0,0.665946724262059,0.0,0.8329733621310296
"frozenset({'NoFamilyHistoryAlzheimers', 'NoHypertension'})",frozenset({'NoDiagnosis'}),0.6393088552915767,1.0,0.6393088552915767,1.0,1.0,1.0,0.0,inf,0.0,0.6393088552915767,0.0,0.8196544276457883
"frozenset({'NoCardiovascularDisease', 'NoDiabetes'})",frozenset({'NoDiagnosis'}),0.7199424046076314,1.0,0.7199424046076314,1.0,1.0,1.0,0.0,inf,0.0,0.7199424046076314,0.0,0.8599712023038157
"frozenset({'NoCardiovascularDisease', 'NoDepression'})",frozenset({'NoDiagnosis'}),0.6882649388048956,1.0,0.6882649388048956,1.0,1.0,1.0,0.0,inf,0.0,0.6882649388048956,0.0,0.8441324694024478
