antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NoMemoryComplaints'}),frozenset({'NoDiagnosis'}),0.8840892728581713,1.0,0.8840892728581713,1.0,1.0,1.0,0.0,inf,0.0,0.8840892728581713,0.0,0.9420446364290856
frozenset({'NoBehavioralProblems'}),frozenset({'NoDiagnosis'}),0.9035277177825773,1.0,0.9035277177825773,1.0,1.0,1.0,0.0,inf,0.0,0.9035277177825773,0.0,0.9517638588912887
frozenset({'NoConfusion'}),frozenset({'NoDiagnosis'}),0.7890568754499641,1.0,0.7890568754499641,1.0,1.0,1.0,0.0,inf,0.0,0.7890568754499641,0.0,0.894528437724982
frozenset({'NoDisorientation'}),frozenset({'NoDiagnosis'}),0.8351331893448524,1.0,0.8351331893448524,1.0,1.0,1.0,0.0,inf,0.0,0.8351331893448524,0.0,0.9175665946724262
frozenset({'NoPersonalityChanges'}),frozenset({'NoDiagnosis'}),0.843772498200144,1.0,0.843772498200144,1.0,1.0,1.0,0.0,inf,0.0,0.843772498200144,0.0,0.921886249100072
frozenset({'NoDifficultyCompletingTasks'}),frozenset({'NoDiagnosis'}),0.843772498200144,1.0,0.843772498200144,1.0,1.0,1.0,0.0,inf,0.0,0.843772498200144,0.0,0.921886249100072
frozenset({'NoForgetfulness'}),frozenset({'NoDiagnosis'}),0.6983441324694024,1.0,0.6983441324694024,1.0,1.0,1.0,0.0,inf,0.0,0.6983441324694024,0.0,0.8491720662347012
"frozenset({'NoBehavioralProblems', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.7955363570914327,1.0,0.7955363570914327,1.0,1.0,1.0,0.0,inf,0.0,0.7955363570914327,0.0,0.8977681785457163
"frozenset({'NoConfusion', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.7005039596832253,1.0,0.7005039596832253,1.0,1.0,1.0,0.0,inf,0.0,0.7005039596832254,0.0,0.8502519798416126
"frozenset({'NoDisorientation', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.7415406767458603,1.0,0.7415406767458603,1.0,1.0,1.0,0.0,inf,0.0,0.7415406767458603,0.0,0.8707703383729302
"frozenset({'NoMemoryComplaints', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.7415406767458603,1.0,0.7415406767458603,1.0,1.0,1.0,0.0,inf,0.0,0.7415406767458603,0.0,0.8707703383729302
"frozenset({'NoDifficultyCompletingTasks', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.7516198704103672,1.0,0.7516198704103672,1.0,1.0,1.0,0.0,inf,0.0,0.7516198704103672,0.0,0.8758099352051836
"frozenset({'NoForgetfulness', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6126709863210943,1.0,0.6126709863210943,1.0,1.0,1.0,0.0,inf,0.0,0.6126709863210944,0.0,0.8063354931605471
"frozenset({'NoBehavioralProblems', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.706983441324694,1.0,0.706983441324694,1.0,1.0,1.0,0.0,inf,0.0,0.706983441324694,0.0,0.853491720662347
"frozenset({'NoBehavioralProblems', 'NoDisorientation'})",frozenset({'NoDiagnosis'}),0.7537796976241901,1.0,0.7537796976241901,1.0,1.0,1.0,0.0,inf,0.0,0.7537796976241901,0.0,0.8768898488120951
"frozenset({'NoBehavioralProblems', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.7645788336933045,1.0,0.7645788336933045,1.0,1.0,1.0,0.0,inf,0.0,0.7645788336933046,0.0,0.8822894168466522
"frozenset({'NoBehavioralProblems', 'NoDifficultyCompletingTasks'})",frozenset({'NoDiagnosis'}),0.7580993520518359,1.0,0.7580993520518359,1.0,1.0,1.0,0.0,inf,0.0,0.758099352051836,0.0,0.8790496760259179
"frozenset({'NoBehavioralProblems', 'NoForgetfulness'})",frozenset({'NoDiagnosis'}),0.6335493160547156,1.0,0.6335493160547156,1.0,1.0,1.0,0.0,inf,0.0,0.6335493160547156,0.0,0.8167746580273578
"frozenset({'NoDisorientation', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.660187185025198,1.0,0.660187185025198,1.0,1.0,1.0,0.0,inf,0.0,0.6601871850251981,0.0,0.830093592512599
"frozenset({'NoConfusion', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.6645068394528437,1.0,0.6645068394528437,1.0,1.0,1.0,0.0,inf,0.0,0.6645068394528437,0.0,0.8322534197264219
"frozenset({'NoDifficultyCompletingTasks', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.6681065514758819,1.0,0.6681065514758819,1.0,1.0,1.0,0.0,inf,0.0,0.6681065514758819,0.0,0.834053275737941
"frozenset({'NoForgetfulness', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.5550755939524838,1.0,0.5550755939524838,1.0,1.0,1.0,0.0,inf,0.0,0.5550755939524838,0.0,0.7775377969762419
"frozenset({'NoDisorientation', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.6997840172786177,1.0,0.6997840172786177,1.0,1.0,1.0,0.0,inf,0.0,0.6997840172786177,0.0,0.8498920086393089
"frozenset({'NoDifficultyCompletingTasks', 'NoDisorientation'})",frozenset({'NoDiagnosis'}),0.7055435565154787,1.0,0.7055435565154787,1.0,1.0,1.0,0.0,inf,0.0,0.7055435565154788,0.0,0.8527717782577393
"frozenset({'NoDisorientation', 'NoForgetfulness'})",frozenset({'NoDiagnosis'}),0.5795536357091433,1.0,0.5795536357091433,1.0,1.0,1.0,0.0,inf,0.0,0.5795536357091433,0.0,0.7897768178545717
"frozenset({'NoDifficultyCompletingTasks', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.7163426925845933,1.0,0.7163426925845933,1.0,1.0,1.0,0.0,inf,0.0,0.7163426925845933,0.0,0.8581713462922966
"frozenset({'NoForgetfulness', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.5896328293736501,1.0,0.5896328293736501,1.0,1.0,1.0,0.0,inf,0.0,0.5896328293736501,0.0,0.7948164146868251
"frozenset({'NoDifficultyCompletingTasks', 'NoForgetfulness'})",frozenset({'NoDiagnosis'}),0.5874730021598272,1.0,0.5874730021598272,1.0,1.0,1.0,0.0,inf,0.0,0.5874730021598273,0.0,0.7937365010799136
"frozenset({'NoBehavioralProblems', 'NoConfusion', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6241900647948164,1.0,0.6241900647948164,1.0,1.0,1.0,0.0,inf,0.0,0.6241900647948164,0.0,0.8120950323974082
"frozenset({'NoBehavioralProblems', 'NoDisorientation', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6673866090712743,1.0,0.6673866090712743,1.0,1.0,1.0,0.0,inf,0.0,0.6673866090712743,0.0,0.8336933045356372
"frozenset({'NoBehavioralProblems', 'NoMemoryComplaints', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.6688264938804895,1.0,0.6688264938804895,1.0,1.0,1.0,0.0,inf,0.0,0.6688264938804895,0.0,0.8344132469402448
"frozenset({'NoBehavioralProblems', 'NoDifficultyCompletingTasks', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6724262059035278,1.0,0.6724262059035278,1.0,1.0,1.0,0.0,inf,0.0,0.6724262059035278,0.0,0.8362131029517639
"frozenset({'NoBehavioralProblems', 'NoForgetfulness', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.5521958243340532,1.0,0.5521958243340532,1.0,1.0,1.0,0.0,inf,0.0,0.5521958243340532,0.0,0.7760979121670266
"frozenset({'NoDisorientation', 'NoConfusion', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.5889128869690424,1.0,0.5889128869690424,1.0,1.0,1.0,0.0,inf,0.0,0.5889128869690425,0.0,0.7944564434845212
"frozenset({'NoConfusion', 'NoMemoryComplaints', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.5867530597552196,1.0,0.5867530597552196,1.0,1.0,1.0,0.0,inf,0.0,0.5867530597552196,0.0,0.7933765298776099
"frozenset({'NoDifficultyCompletingTasks', 'NoConfusion', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.597552195824334,1.0,0.597552195824334,1.0,1.0,1.0,0.0,inf,0.0,0.5975521958243342,0.0,0.798776097912167
"frozenset({'NoDisorientation', 'NoMemoryComplaints', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.619150467962563,1.0,0.619150467962563,1.0,1.0,1.0,0.0,inf,0.0,0.619150467962563,0.0,0.8095752339812815
"frozenset({'NoDifficultyCompletingTasks', 'NoDisorientation', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6313894888408927,1.0,0.6313894888408927,1.0,1.0,1.0,0.0,inf,0.0,0.6313894888408929,0.0,0.8156947444204463
"frozenset({'NoForgetfulness', 'NoDisorientation', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.5082793376529877,1.0,0.5082793376529877,1.0,1.0,1.0,0.0,inf,0.0,0.5082793376529877,0.0,0.7541396688264939
"frozenset({'NoDifficultyCompletingTasks', 'NoMemoryComplaints', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.6357091432685386,1.0,0.6357091432685386,1.0,1.0,1.0,0.0,inf,0.0,0.6357091432685386,0.0,0.8178545716342693
"frozenset({'NoForgetfulness', 'NoMemoryComplaints', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.5147588192944564,1.0,0.5147588192944564,1.0,1.0,1.0,0.0,inf,0.0,0.5147588192944565,0.0,0.7573794096472282
"frozenset({'NoDifficultyCompletingTasks', 'NoForgetfulness', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.5183585313174947,1.0,0.5183585313174947,1.0,1.0,1.0,0.0,inf,0.0,0.5183585313174948,0.0,0.7591792656587473
"frozenset({'NoBehavioralProblems', 'NoDisorientation', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.5903527717782577,1.0,0.5903527717782577,1.0,1.0,1.0,0.0,inf,0.0,0.5903527717782577,0.0,0.7951763858891289
